Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,
97,tt7942440,12/9/2023,12/9/2023,,Hot Ones: Chris Jericho Gets Body Slammed by Spicy Wings,https://www.imdb.com/title/tt7942440/,tvEpisode,7.6,21,2017,"Comedy, Talk-Show",15,2017-10-26,
98,tt7942436,12/9/2023,12/9/2023,,Hot Ones: Gabrielle Union Impersonates DMX While Eating Spicy Wings,https://www.imdb.com/title/tt7942436/,tvEpisode,8.2,,2017,"Comedy, Talk-Show",14,2017-11-02,
99,tt7942432,12/9/2023,12/9/2023,,Hot Ones: Wale Battles Spicy Wings Live,https://www.imdb.com/title/tt7942432/,tvEpisode,7,29,2017,"Comedy, Talk-Show",7,2017-11-09,Kai Streets
100,tt7942324,12/9/2023,12/9/2023,,Hot Ones: Bob Saget Hiccups Uncontrollably While Eating Spicy Wings,https://www.imdb.com/title/tt7942324/,tvEpisode,7.6,22,2017,"Comedy, Talk-Show",18,2017-11-16,
101,tt7942314,12/9/2023,12/9/2023,,Hot Ones: Mario Batali Celebrates Thanksgiving with Spicy Wings,https://www.imdb.com/title/tt7942314/,tvEpisode,,,2017,"Comedy, Talk-Show",,2017-11-23,
102,tt7942304,12/9/2023,12/9/2023,,Hot Ones: Alexa Chung Fears for Her Life While Eating Spicy Wings,https://www.imdb.com/title/tt7942304/,tvEpisode,7,,2017,"Comedy, Talk-Show",11,2017-11-30,
103,tt7942302,12/9/2023,12/9/2023,,Hot Ones: Logic Solves a Rubik's Cube While Eating Spicy Wings,https://www.imdb.com/title/tt7942302/,tvEpisode,7.1,21,2017,"Comedy, Talk-Show",16,2017-12-07,
104,tt7942294,12/9/2023,12/9/2023,,Hot Ones: Casey Neistat Melts His Face Off While Eating Spicy Wings,https://www.imdb.com/title/tt7942294/,tvEpisode,8.1,23,2017,"Comedy, Talk-Show",13,2017-12-14,
105,tt7942282,12/9/2023,12/9/2023,,Hot Ones: Chili Klaus Faces the Most Extreme Hot Ones Ever,https://www.imdb.com/title/tt7942282/,tvEpisode,8.3,20,2017,"Comedy, Talk-Show",13,2017-12-28,
106,tt7942170,12/9/2023,12/9/2023,,Hot Ones: Taraji P. Henson Needs a Stunt Double to Eat Spicy Wings,https://www.imdb.com/title/tt7942170/,tvEpisode,6.2,19,2018,"Comedy, Talk-Show",13,2018-01-18,
107,tt7942248,12/9/2023,12/9/2023,,Hot Ones: Sasha Banks Bosses Up While Eating Spicy Wings,https://www.imdb.com/title/tt7942248/,tvEpisode,7.9,20,2018,"Comedy, Talk-Show",16,2018-01-25,
108,tt7952866,12/9/2023,12/9/2023,,Hot Ones: Von Miller Geeks Out Over Spicy Wings,https://www.imdb.com/title/tt7952866/,tvEpisode,8,20,2018,"Comedy, Talk-Show",8,2018-02-01,
109,tt7982914,12/9/2023,12/9/2023,,Hot Ones: Rich Brian Experiences Peak Bromance While Eating Spicy Wings,https://www.imdb.com/title/tt7982914/,tvEpisode,6.8,,2018,"Comedy, Talk-Show",9,2018-02-08,
110,tt8012940,12/9/2023,12/9/2023,,Hot Ones: Hannibal Buress Freestyles While Eating Spicy Wings,https://www.imdb.com/title/tt8012940/,tvEpisode,7.8,,2018,"Comedy, Talk-Show",15,2018-02-15,
111,tt8044982,12/9/2023,12/9/2023,,Hot Ones: Michael B. Jordan Gets Knocked Out by Spicy Wings,https://www.imdb.com/title/tt8044982/,tvEpisode,7.8,22,2018,"Comedy, Talk-Show",25,2018-02-22,
112,tt8079402,12/9/2023,12/9/2023,,Hot Ones: Ty Burrell Fears Sudden Death While Eating Spicy Wings,https://www.imdb.com/title/tt8079402/,tvEpisode,7.7,20,2018,"Comedy, Talk-Show",21,2018-03-01,
113,tt8110024,12/9/2023,12/9/2023,,Hot Ones: Charlize Theron Takes a Rorschach Test While Eating Spicy Wings,https://www.imdb.com/title/tt8110024/,tvEpisode,8.1,23,2018,"Comedy, Talk-Show",45,2018-03-08,
114,tt8144160,12/9/2023,12/9/2023,,Hot Ones: Adam Rippon Competes in the Olympics of Eating Spicy Wings,https://www.imdb.com/title/tt8144160/,tvEpisode,7.5,21,2018,"Comedy, Talk-Show",12,2018-03-15,
115,tt8177430,12/9/2023,12/9/2023,,Hot Ones: Gabriel Iglesias Does Wrestling Trivia While Eating Spicy Wings,https://www.imdb.com/title/tt8177430/,tvEpisode,7.3,,2018,"Comedy, Talk-Show",18,2018-03-22,
116,tt8208508,12/9/2023,12/9/2023,,Hot Ones: Shawn Mendes Reveals a New Side of Himself While Eating Spicy Wings,https://www.imdb.com/title/tt8208508/,tvEpisode,7.3,23,2018,"Comedy, Talk-Show",20,2018-03-29,
117,tt8240806,12/9/2023,12/9/2023,,Hot Ones: Philip DeFranco Sets a YouTube Record While Eating Spicy Wings,https://www.imdb.com/title/tt8240806/,tvEpisode,7.5,,2018,"Comedy, Talk-Show",13,2018-04-05,
